Make,Model,Year,Engine Size (L),Fuel Type,Price
Ford,Freestyle,2019,1.2,Petrol,11000
Hyundai,Xcent,2017,1.2,Petrol,9500
Chevrolet,Aveo,2020,1.4,Petrol,10000
Nissan,Versa,2018,1.6,Petrol,12000
Volkswagen,Up,2019,1.0,Petrol,9000
Kia,Stinger,2017,2.0,Petrol,35000
Mazda,5,2020,2.0,Petrol,18000
Subaru,WRX,2018,2.0,Petrol,32000
BMW,M3,2019,3.0,Petrol,90000
Mercedes,CLA200,2017,1.6,Petrol,40000
Audi,S3,2020,2.0,Petrol,50000
Lexus,RC350,2018,3.5,Petrol,60000
Jeep,Liberty,2019,3.7,Petrol,25000
Toyota,Avanza,2017,1.5,Petrol,12000
Honda,City,2020,1.5,Petrol,18000
Ford,Endeavour,2018,3.2,Diesel,35000
Hyundai,Accent,2019,1.6,Petrol,14000
Chevrolet,Optra,2017,1.6,Petrol,11000
Nissan,Teana,2020,2.5,Petrol,30000
Volkswagen,Beetle,2018,2.0,Petrol,35000
Kia,Ceed,2019,1.6,Petrol,17000
Mazda,MPV,2017,2.3,Petrol,16000
Subaru,Tribeca,2020,3.6,Petrol,40000
BMW,X6,2018,3.0,Petrol,80000
Mercedes,GLS400,2019,3.0,Petrol,90000
Audi,Q8,2017,3.0,Petrol,95000
Lexus,UX250h,2020,2.0,Hybrid,60000
Jeep,Compass,2018,2.0,Diesel,25000
